Vocabulary,Part of Speech,Definition,Suggested Reading,Base Word
"a, ab, abs",preposition,"(with abl.) from, away from, out of, by",1.1,a
"abeo, -ire, -ii, -itum",verb,"to go from, go away, go off, go forth, go, 
depart",1.1,abeo
"absum, abesse, afui",verb,"to be away from, be absent",5.3,absum
"accedo (adc-), -ere, -cessi, 
-cessum",verb,"to go to, come to, come near, draw near, 
approach, enter",2.1,accedo
"accendo (adc-), -ere, -cendi, 
-censum",verb,"to kindle, set on fire, inflame",3.6,accendo
"accido, -ere, -cidi",verb,"to fall upon, fall to, reach by falling, happen",3.1,accido
"accipio (adc-), -ere, -cepi, 
-ceptum",verb,"to take without effort, receive, get, accept",1.3,accipio
"accuso, -are, -avi, -atum",verb,"to accuse, blame, find fault; reprimand; charge 
(w/ a crime)",3.6,accuso
"acer, acris, acre",adjective,"sharp, bitter, pointed, piercing, shrill; keen; 
severe",1.1,acer
"acies, -ei (f.)",noun,"a sharp edge, point; the front of an army, line 
of battle",5.3,acies
ad,preposition,"(with acc.) to, toward",1.1,ad
"addo, -ere, -didi, -ditum",verb,"to put to, place upon, lay on, join, attach",1.4,addo
"adeo, -ire, -ii, -itum",verb,"to go to, come to, come up to, approach, draw 
near",1.2,adeo
adhuc,adverb,"until now, heretofore, as yet, to this point, to 
this place",1.3,adhuc
"adsum (assum), adesse, adfui",verb,"to be at, be present, be at hand",2.4,adsum
"adsurgo (ass-), -ere, -surrexi, 
-surrectum",verb,"to rise up, rise, stand up",1.4,adsurgo
"adversus, -a, -um",adjective,"turned to, opposite, before, in front of",1.1,adversus
"adversus, adversum",adverb,"opposite to, against; toward, against, before",1.1,adversus
"aedificium, -i (n.)",noun,a building; structure,3.6,aedificium
"aedifico, -are, -avi, -atum",verb,"to build, construct, make; create; establish; 
improve",3.6,aedifico
"aeger, aegra, -um",adjective,"sick, ill, injured; painful; corrupt; sad, sorrowful",1.2,aeger
"Aeneas, -ae (m.)",noun (proper),"Aeneas, leader of the Trojans",4.4,Aeneas
"aequo, -are, -avi, -atum",verb,"to make equal, equalize",4.4,aequo
"aequor, -oris (n.)",noun,"an even surface, level; the sea, ocean",4.4,aequor
"aequus, -a, -um",adjective,"level, even, equal, like; just, kind, impartial, fair; 
patient",1.2,aequus
"aestas, aestatis (f.)",noun,summer; summer heat/weather; a year,4.1,aestas
"aetas, -atis (f.)",noun,"the life of man, age, lifetime, years",3.4,aetas
"aether, -eris (m.)",noun,"the upper air, sky",4.4,aether
"affirmo (adf-), -are, -avi, -atum",verb,"to strengthen; to confirm, encourage",3.1,affirmo
"ager, agri (m.)",noun,"productive land, a field, farm, estate, pasture",5.4,ager
"agmen, -inis (n.)",noun,"a multitude, troop, crowd; battle line, army",2.3,agmen
"ago, -ere, egi, actum",verb,"to put in motion, do, move, lead, drive",1.2,ago
"agricola, -ae (m.)",noun,"a farmer, countryman, peasant",1.1,agricola
"aio (defective verb, ais, ait, 
aiunt)",verb,"to assert, affirm, say, tell, relate",2.3,aio
"albus, -a, -um",adjective,"white, pale, fair, gray; bright, clear; favorable, 
auspicious",3.1,albus
"Alexandrinus, -a, -um",adjective,"Alexandrian, pertaining to Alexandria (a city in 
Egypt)",3.4,Alexandrinus
"alienus, -a, -um",adjective,"of another, belonging to another, not one’s 
own, foreign, alien, strange",2.3,alienus
"aliqui (aliquis), aliqua, aliquod",adjective,"some, any",3.1,aliqui
"aliquis, aliquid",pronoun/adjective,"some one, any one, anybody, one or another; 
neut., something, anything",3.1,aliquis
"alius, -a, -ud",adjective,"another, other, different",1.1,alius
"alter, -tera, -terum",adjective,"one, another, the one, the other (of two)",2.3,alter
"altum, -i (n.)",noun,a height; the high sky; the deep sea,2.1,altum
"altus, -a, -um",adjective,"high, lofty, elevated, great; deep, profound",1.2,altus
"ambulo, -are, -avi, -atum",verb,"to walk, take a walk; travel, march",1.2,ambulo
"amicitia, -ae (f.)",noun,"friendship; alliance, association; friendly 
relations",1.3,amicitia
"amicus, -a, -um",adjective,"loving, friendly, kind, favorable",1.3,amicus
"amicus, -i (m.)",noun,"a loved one, loving one, friend",1.3,amicus
"amitto, -ere, -isi, -issum",verb,"to send away, dismiss, part with, let go, lose",5.4,amitto
"amnis, -is (m.)",noun,a river,5.4,amnis
"amo, -are, -avi, -atum",verb,to love,5.1,amo
"amor, -oris (m.)",noun,"love, affection, strong friendly feeling",5.1,amor
"amplector, -i, amplexus sum",verb,"to twine around, encircle, encompass, 
embrace",2.4,amplector
an,conjunction,"or, or whether",1.3,an
"ancilla, -ae (f.)",noun,enslaved woman,1.3,ancilla
"angustus, -a, -um",adjective,"narrow, steep, close, confined; scanty, poor; 
narrowminded, petty",1.3,angustus
"anima, -ae (f.)",noun,"air, a current of air, breeze, wind; breath, life, 
soul",1.4,anima
"animal, -is (m. or f.)",noun,"an animal, living thing",1.4,animal
"animus, -i (m.)",noun,"the soul, intelligence, reason, intellect, mind",1.1,animus
"annus, -i (m.)",noun,a year,2.3,annus
ante,preposition,"(with acc.) (of space) before, in front, forwards; 
(of time) before, previously",3.4,ante
antea,adverb,"before, before this; formerly, previously, in the 
past",4.1,antea
"antiquus, -a, -um",adjective,"ancient, former, of old times",4.4,antiquus
"anxius, -a, -um",adjective,"anxious, uneasy, disturbed; concerned; 
careful",3.6,anxius
"aperio, -ire, aperui, apertum",verb,"to uncover, open, disclose; explain, recount; 
reveal; establish",1.4,aperio
"appareo (adp-), -ere, -ui, -itum",verb,"to appear, come in sight, make an appearance",2.1,appareo
"appello (adp-), -are, -avi, -atum",verb,"to call, address, name; request, implore, 
demand",3.4,appello
"Appia, -ae (f.)",noun (proper),"a Roman female name (nomen - name of a 
Roman gens)",1.1,Appia
"appropinquo (adp-), -are, -avi, 
-atum",verb,"(with dat. or ad + acc.) to approach; come near 
to, draw near (space/time)",1.3,appropinquo
apud,preposition,"(with acc.) with, among, at, by, near, at the 
house of",1.1,apud
"aqua, -ae (f.)",noun,water,1.2,aqua
"ara, -ae (f.)",noun,"a structure for sacrifice, altar",4.6,ara
"arbor (arbos), -oris (f.)",noun,a tree,1.4,arbor
"architectus, -i (m.)",noun,"an architect; inventor, designer",3.4,architectus
"arcus, -us (m.)",noun,"a bow, arc, arch; rainbow; anything arched or 
curved",3.4,arcus
"ardens, -entis",adjective,"glowing, fiery, hot, ablaze, burning, eager",4.6,ardens
"ardeo, -ere, -si, -sum",verb,"to be on fire, burn, blaze, be burned, glow",1.3,ardeo
"arena (harena), -ae (f.)",noun,"sand, grains of sand; sandy land or desert; 
seashore; arena",2.3,arena
"arma, -orum (n. pl.)",noun,"implements, outfit, instruments, tools; 
implements of war, arms, weapons",1.3,arma
"Arpocras, -tis (m.)",noun (proper),a Greek male name,3.4,Arpocras
"ars, artis (f.)",noun,"practical skill, art",5.3,ars
"arvum, -i (n.)",noun,"a field, cultivated land, plowed land",4.6,arvum
"arx, arcis (f.)",noun,"a castle, citadel, fortress, stronghold",4.4,arx
"ascendo (ads-), -ere, -cendi, 
-censum",verb,"to climb, go/climb up; mount, scale; embark; 
rise, ascend, move upward",1.4,ascendo
"aspicio (ads-), -ere, -exi, -ectum",verb,"to look at, look upon, behold, look",1.4,aspicio
"at, ast",conjunction,but (introducing a contrast to what precedes),1.2,at
"ater, atra, atrum",adjective,"black, coal-black, gloomy, dark",2.3,ater
"Athenae, -arum (pl. f.)",noun (proper),Athens (city in Greece),3.1,Athenae
"athleta, -ae (m.)",noun,"a wrestler, boxer, athlete, one who is in public 
games; expert",1.3,athleta
"atque, ac",conjunction,and,1.1,atque
"atrium, -i (n.)",noun,"atrium, reception hall in a Roman house",1.2,atrium
"attonitus, -a, -um",adjective,"astonished, fascinated; stupefied, dazed; 
inspired",2.3,attonitus
"audacia, -ae (f.)",noun,"boldness, courage, confidence; recklessness",1.4,audacia
"audax, audacis",adjective,"bold; courageous; reckless, rash; 
presumptuous",1.4,audax
"audeo, -ere, ausus sum",verb,"to venture, dare, be bold, dare to do, risk",3.6,audeo
"audio, -ire, -ivi (or -ii), -itum",verb,to hear,1.1,audio
"aura, -ae (f.)",noun,"the air (in motion), a breeze, breath of air, wind, 
blast",5.1,aura
"Aurelius, -i (m.)",noun (proper),"a Roman male name (nomen - name of a 
Roman gens)",1.2,Aurelius
"aureus, -a, -um",adjective,"of gold, golden; gilded; gleaming like gold; 
splendid",5.3,aureus
"auris, -is (f.)",noun,the ear,3.1,auris
"aurum, -i (n.)",noun,gold,5.3,aurum
aut,conjunction,"or (introducing an antithesis to what 
precedes)",1.1,aut
autem,conjunction,"but, on the other hand, on the contrary, 
however",3.4,autem
"auxilium, -i (n.)",noun,"help, assistance; remedy; supporting 
resource, force; auxiliary troops",4.6,auxilium
"avunculus, -i (m.)",noun,"a maternal uncle, mother’s brother",2.1,avunculus
"beatus, -a, -um",adjective,"happy, prosperous, blessed, fortunate",1.4,beatus
"bellum, -i (n.)",noun,war,1.2,bellum
bene,adverb,well,2.4,bene
"beneficium, -i (n.)",noun,"a favor, benefit, service, kindness",3.4,beneficium
"benignus, -a, -um",adjective,"kind, favorable; kindly, mild, affable",3.6,benignus
"bibo, -ere, bibi",verb,to drink,4.1,bibo
"bonus, -a, -um",adjective,good,1.2,bonus
"brevis, -e",adjective,"short, small, shallow, brief",1.2,brevis
"cado, -ere, cecidi, casum",verb,"to fall, fall down, descend, die",5.1,cado
"caedes, -is (f.)",noun,"a cutting-down, killing, slaughter, carnage, 
massacre",5.1,caedes
"Caelius, -i (m.)",noun (proper),"a Roman male name (nomen - name of a 
Roman gens)",1.1,Caelius
"caelum, -i (n.)",noun,"the sky, heaven, heavens, vault of heaven",2.1,caelum
"caligo, -inis (f.)",noun,"a thick air, mist, vapor, fog",1.2,caligo
"Camilla, -ae (f.)",noun (proper),"Camilla, warrior and leader of the Volsci",5.4,Camilla
"campus, -i (m.)",noun,"a plain, field, open country, level place",2.3,campus
"candidus, -a, -um",adjective,"bright, clear, transparent; clean, spotless; 
innocent, pure, unaffected, honest; white, pale",4.1,candidus
"canis, -is (m. or f.)",noun,a dog,1.1,canis
"cano, -ere, cecini, cantum",verb,"to make music; sing (of), sound; prophesize",4.4,cano
"capillus, -i (m.)",noun,"the hair of the head, hair",3.1,capillus
"capio, -ere, cepi, captum",verb,"to take in hand, take hold of, lay hold of, take, 
seize, grasp",5.1,capio
"caput, -itis (n.)",noun,the head,1.3,caput
"carmen, -inis (n.)",noun,"a song, poem, verse, prophecy, note, sound 
(vocal or instrumental)",3.6,carmen
"Carthago (Karthago), -inis (f.)",noun (proper),"Carthage, a city in north Africa",3.1,Carthago
"carus, -a, -um",adjective,"dear, precious, valued, esteemed, beloved",4.4,carus
"castra, -orum (n. pl.)",noun,"a military camp, an encampment, a fort",3.6,castra
"castrum, -i (n.)",noun,"a fortified place, fort, fortress",3.6,castrum
"casus, -us (m.)",noun,"a falling, falling down, fall; a misfortune, 
mishap, calamity",1.4,casus
"catena, -ae (f.)",noun,"a chain, shackle",3.1,catena
"caterva, -ae (f.)",noun,"a crowd, troop, throng, band, mob",4.4,caterva
"causa, -ae (f.)",noun,"a cause, reason, motive, occasion, 
opportunity; (in the ablative) for the sake of",2.4,causa
"caveo, -ere, cavi, cautum",verb,"to beware, avoid, be on guard; guarantee; take 
care of, decree",1.1,caveo
"cedo, -ere, cessi, cessum",verb,"to go from, give place, withdraw, go away, 
depart, yield",5.3,cedo
"celebro, -are, -avi, -atum",verb,"to celebrate, perform; frequent; honor; 
publicize; discuss",2.1,celebro
"celer, -eris, -ere",adjective,"swift, fleet, quick, speedy",5.1,celer
"celeritas, -atis (f.)",noun,"speed, quickness; speed of action; haste",4.1,celeritas
"celo, -are, -avi, -atum",verb,"to hide something from one, keep secret, 
conceal",4.1,celo
"cena, -ae (f.)",noun,"dinner, principal Roman meal (evening); 
course, meal",1.3,cena
"ceno, -are, -avi, -atum",verb,"to dine (on), have dinner with",1.3,ceno
"certamen, certaminis (n.)",noun,"contest, competition; battle, combat, 
struggle; rivalry, dispute",1.4,certamen
"certus, -a, -um",adjective,"determined, resolved, fixed, settled, 
purposed, certain",1.4,certus
"ceterus, -a, -um",adjective,"the other, remainder, rest",1.4,ceterus
"cibus, -i (m.)",noun,"food; eating, a meal",1.2,cibus
"cingo, -ere, -xi, -inctum",verb,"to go around, surround, encompass, gird, 
wreathe, crown",2.4,cingo
"cinis, -eris (m.)",noun,ashes,2.1,cinis
circum,preposition,"(with acc.) around, about, all around",4.4,circum
"civis, -is (m. or f.)",noun,a citizen,4.6,civis
"civitas, -atis (f.)",noun,"city, state; citizenship",3.4,civitas
clam,adverb,"secretly; without knowledge of, unknown to",4.6,clam
"clamo, -are, -avi, -atum",verb,"to call, cry out, shout aloud; complain loudly",5.3,clamo
"clamor, -is (m.)",noun,"a shout, cry; loud shouting; applause; a loud 
noise, roar; a battle-cry",2.4,clamor
"clarus, -a, -um",adjective,"clear, bright, shining, brilliant",5.1,clarus
"classis, -is (f.)",noun,"a class, great division; (fig.) an army, a fleet",1.4,classis
"Claudia, -ae (f.)",noun (proper),"a Roman female name (nomen - name of a 
Roman gens)",1.2,Claudia
"claudo, -ere, -si, -sum",verb,"to shut, close, shut up",1.3,claudo
"cliens, clientis (m.)",noun,"a client, dependent (of a patron); client state 
or its citizens, allies",5.3,cliens
"clipeus, -i (m.)",noun,a round shield of metal,4.6,clipeus
"coepio, -ere, coepi, coeptum",verb,"to begin, commence",2.3,coepio
"cognosco, -ere, cognovi, 
cognitum",verb,"to become acquainted with, acquire 
knowledge of, learn, understand",1.4,cognosco
"cogo, -ere, coegi, coactum",verb,"to drive together, bring together, convene, 
compel, force",2.4,cogo
"colo, -ere, colui, cultum",verb,"to till, tend, care for, cultivate",4.4,colo
"coma, -ae (f.)",noun,"the hair of the head, hair",5.1,coma
"comes, -itis (m.)",noun,"a companion, associate, comrade, partner",3.1,comes
"committo, -ere, -misi, -missum",verb,"to bring together, join, combine, put together, 
connect, unite",2.3,committo
"commodus, -a, -um",adjective,"suitable, convenient; timely; favorable, lucky; 
desirable, agreeable",5.3,commodus
"commoveo, -ere, -movi, 
-motum",verb,"to shake, stir up; start, provoke; displace, 
trouble, upset; jolt awake",5.6,commoveo
"comparo, -are, -avi, -atum",verb,"to place together, join; compare, consider; 
prepare, acquire; arrange, establish",5.6,comparo
"compono, -ere, -posui, -positum",verb,"to bring together, place together, join, connect",5.1,compono
"condo, -ere, -didi, -ditum",verb,"to put together, found, establish, build, settle",1.4,condo
"coniunx, -iugis (f.)",noun,"a married person, spouse, husband, wife",2.4,coniunx
"consido, -ere, -sedi, -sessum",verb,"to sit down, be seated; sit (judge); sink, stop, 
settle; take up a position",2.4,consido
"consilium, -i (n.)",noun,"a council, body of counsellors; a plan, 
purpose, intention",1.3,consilium
"conspicio, -ere, -spexi, 
-spectum",verb,"to look at (closely), contemplate, perceive, 
observe",1.1,conspicio
"constituo, -ere, -stitui, -stitutum",verb,"to set up; place, locate; stop; decide, appoint; 
station (troops); establish, create; arrange",5.6,constituo
"consul, -is (m.)",noun,a consul,5.1,consul
"consulo, -ere, -ui, -tum",verb,"to meet and consider, reflect, consult, look 
out, be mindful",2.3,consulo
"consumo, -ere, -sumpsi, 
-sumptum",verb,"to burn up, destroy; reduce, wear away; 
exstinguish, exhaust; devour, consume; 
spend, squander",6.1,consumo
"contendo, -ere, -tendi, -tentum",verb,"to stretch, draw tight; to draw, bend; to tune; 
to stretch out for, rush to, travel; be in a hurry; 
direct",6.2,contendo
"contingo, -ere, -tigi, -tactum",verb,"to touch, reach, take hold of, seize",4.4,contingo
contra,adjective/adverb,"in opposition, opposite, face to face; in turn, in 
return, back, on the other hand, likewise (with 
acc.)",2.4,contra
"conubium, -i (n.)",noun,marriage,5.1,conubium
"copia, -ae (f.)",noun,"an abundance, ample supply, plenty; (in plural) 
troops, forces",1.4,copia
"coquo, -ere, coxi, coctum",verb,"to cook; burn, parch; consider, plan",5.4,coquo
"Cornelia, -ae (f.)",noun (proper),"a Roman female name (nomen - name of a 
Roman gens)",1.1,Cornelia
"cornu, -us (n.)",noun,"horn; hoof; beak, claw; bow; horn, trumpet; 
end, wing of an army",5.4,cornu
"corpus, -oris (n.)",noun,a body (living or lifeless),1.2,corpus
"corripio, -ere, -ripui, -reptum",verb,"to seize, snatch up, grasp, collect, take hold 
of, arrest",2.3,corripio
cotidie,adverb,"daily, every day; day by day; usually, ordinarily, 
commonly",3.6,cotidie
cras,adverb,"tomorrow; after today; hereafter, in the future",3.6,cras
"credo, -ere, -didi, -ditum",verb,"(with dat.) to believe, trust; to confide in, have 
confidence in",1.3,credo
"cresco, -ere, crevi, cretum",verb,"to come into being, spring up, arise, be born,",2.1,cresco
"crimen, -inis (n.)",noun,"a judgment, charge, accusation, reproach",5.4,crimen
"crudelis, -e",adjective,"rude, unfeeling, hard, hard-hearted, cruel, 
severe, fierce",5.1,crudelis
"cubiculum, -i (n.)",noun,a bedroom,1.1,cubiculum
"culina, -ae (f.)",noun,a kitchen,1.2,culina
cum,conjunction,"when, while, since, although",1.1,cum
cum,preposition,"(with abl.) with, together, along with",1.1,cum
"cunctor, -ari, -atus sum",verb,"to delay, linger, loiter; hesitate, doubt",2.1,cunctor
"cunctus, -a, -um",adjective,"all together, the whole, all, entire",4.6,cunctus
"cupiditas, -atis (f.)",noun,"desire, lust, greed, enthusiasm, eagerness, 
passion",4.1,cupiditas
"cupio, -ere, -ivi, -itum",verb,"to long for, desire, wish",2.3,cupio
cur,adverb,why? wherefore? for what reason?,5.1,cur
"cura, -ae (f.)",noun,"trouble, care, attention, pains, industry, 
diligence, exertion",3.6,cura
"curo, -are, -avi, -atum",verb,"to care, provide for; be attentive to; take 
charge of; heal, cure",2.4,curo
"curro, -ere, cucurri, cursum",verb,"to run, move quickly, travel quickly",1.3,curro
"currus, -us (m.)",noun,"a chariot, car, wagon",4.4,currus
"cursus, -us (m.)",noun,"a running, course, way, march, passage, 
voyage, journey",1.4,cursus
"custodio, -ire, -ivi, -itum",verb,"to guard, watch over, keep safe; to take heed, 
care, observe",4.1,custodio
"custos, -odis (m.)",noun,"a guard, sentry, protector; doorkeeper, 
watchman",5.4,custos
"Danai, -orum (pl.)",noun (proper),"the Danaans, Greeks",4.4,Danai
de,preposition,"(with abl.) from, away from, down from, out of, 
about",1.2,de
"dea, -ae (f.)",noun,a goddess,1.1,dea
"debeo, -ere, -ui, -itum",verb,"to owe, be in debt; ought, must, should",2.3,debeo
"Decius, -i (m.)",noun (proper),"a Roman male name (nomen - name of a 
Roman gens)",1.1,Decius
"defendo, -ere, -i, defensum",verb,"to defend, guard, protect, look after; repel, 
ward off, prevent; support, preserve",3.4,defendo
"defessus, -a, -um",adjective,"worn out, weary, tired; weakened",4.1,defessus
deinde or dein,adverb,"then, next, thereafter, afterwards",1.3,deinde
"delecto, -are, -avi, -atum",verb,"to delight, please, amuse, fascinate; charm, 
lure, entice; enjoy",3.6,delecto
"deleo, -ere, -evi, -etum",verb,"to erase, remove, delete; abolish",3.6,deleo
"demonstro, -are, -avi, -atum",verb,"to point out/at/to, draw attention to; to 
explain, describe; reveal, mention, refer to; 
prove, demonstrate",4.1,demonstro
denique,adverb,"finally, in the end; and then",5.6,denique
"densus, -a, -um",adjective,"thick, close, compact, dense, crowded",2.1,densus
"descendo, -ere, -i, descensum",verb,"to descend, go down; to dismount; to 
penetrate, sink",2.3,descendo
"desero, -ere, -ui, -tum",verb,"to leave, forsake, abandon, desert, give up",1.2,desero
"desum, -esse, -fui",verb,"to be away, be absent, fail, be wanting, be 
missing",2.4,desum
"detineo, -ere, -ui, -tentum",verb,"to hold off, keep back, detain, check",2.3,detineo
"deus, -i (m.)",noun,"a god, deity",1.1,deus
"devoro, -are, -avi, -atum",verb,"to devour, swallow up, overwhelm, destroy; to 
use up, consume",6.1,devoro
"dexter, -tera, -terum or -tra, 
-trum",adjective,"to the right, on the right side, right",3.6,dexter
"dextra (dextera), -ae (f.)",noun,the right hand,4.4,dextra
"Diana, -ae (f.)",noun (proper),"Diana, the goddess of the moon, daughter of 
Jupiter and Latona and twin sister of Apollo",4.4,Diana
