Required Vocabulary,Definition,Suggested Reading,Base Word
Required Vocabulary,Definition,"Suggested 
Reading",Required
"—, suī, sibi, sē, sē","himself, herself, itself, themselves",1.1,—
"ā, ab, abs","from, away from, out of, by (with abl.)",1.1,a
"abeō, -īre, iī, itum","to go from, go away, go off, go forth, go, depart",2.2,abeo
"absum, abesse, āfuī","to be away from, be absent",5.3,absum
"accēdō (adc-), -ere, -cessī, -cessum","to go to, come to, come near, draw near, approach, enter",2.1,accedo
"accendō (adc-), -ere, -cendī, -cēnsum","to kindle, set on fire, inflame",3.6,accendo
"accidō, -ere, -cidī","to fall upon, fall to, reach by falling, happen",3.1,accido
"accipiō (adc-), -ere, -cēpī, -ceptum","to take without effort, receive, get, accept",1.3,accipio
"aciēs, -ēī","sharp edge, point, cutting part; the front of an army, line of battle",6.1,acies
ad,"to, toward (with acc.)",1.1,ad
"addō, -ere, -didī, -ditum","to put to, place upon, lay on, join, attach",1.4,addo
"adeō, -īre, -iī, -itum","to go to, come to, come up to, approach, draw near",2.2,adeo
adhūc,"until now, heretofore, hitherto, as yet, to this point, to this place",2.2,adhuc
"adsum (assum), adesse, adfuī","to be at, be present, be at hand",2.4,adsum
"adsurgō (ass-), -ere, -surrēxī, -
surrēctum","to rise up, rise, stand up",2.2,adsurgo
"adversus, -a, -um","turned to, opposite, before, in front of",2.2,adversus
"adversus, adversum","opposite to, against; toward, against, before",5.4,adversus
"Aenēās, -ae","Aeneas, our hero and leader of the Trojans",4.2,Aeneas
"aequō, -āre, -āvī, -ātum","to make equal, equalize",4.2,aequo
"aequor, -oris","an even surface, level; the sea, ocean",4.1,aequor
"aetās, -ātis","the life of man, age, lifetime, years",3.3,aetas
"aethēr, -eris","the upper air, sky, firmament",4.2,aether
"affīrmō (adf-), -āre, -āvī, -ātum","to strengthen; to confirm, encourage",3.2,affirmo
"ager, agrī","productive land, a field, farm, estate, arable land, pasture",6.2,ager
"āgmen, -inis","that which is driven; a multitude, throng, host, troop, crowd; battle line",2.3,agmen
"agō, -ere, ēgī, āctum","to put in motion, do, move, lead, drive",1.2,ago
"āiō (defective verb, ăis, ăit, āiunt)","to assert, affirm, aver, say, tell, relate",2.3,aio
"Alexandrīnus, -a, -um","Alexandrian, pertaining to Alexandria, a city in Egypt",3.5,Alexandrinus
"aliēnus, -a, -um","of another, belonging to another, not one's own, foreign, alien, strange",2.3,alienus
"aliquī (aliquis), aliqua, aliquod","some, any",3.1,aliqui
"aliquis, aliquid","some one, any one, anybody, one or another; neut., something, anything",1.2,aliquis
"alius, -a, -ud","another, other, different",1.1,alius
"alter, -tera, -terum","one, another, the one, the other (of two)",2.3,alter
"altum, -ī",a height; the high sky; the deep sea,2.1,altum
"altus, -a, -um","high, lofty, elevated, great; deep, profound",2.2,altus
"amīcus, -a, -um","loving, friendly, kind, favorable",2.5,amicus
"amīcus, -ī","a loved one, loving one, friend",2.2,amicus
"āmittō, -ere, -īsī, -issum","to send away, dismiss, part with, let go, lose",5.5,amitto
"amnis, -is",a river,6.2,amnis
"amō, -āre, -āvī, -ātum",to love,2.5,amo
"amor, -ōris","love, affection, strong friendly feeling",4.4,amor
"amplector, -ī, -exus","to twine around, encircle, encompass, embrace",2.4,amplector
an,"or, or whether",1.3,an
"anima, -ae","air, a current of air, breeze, wind; breath, life, soul",2.2,anima
"animus, -ī","the soul, intelligence, reason, intellect, mind",1.1,animus
"annus, -ī",a year,2.3,annus
ante,"(of space) before, in front, forwards; (of time) before, previously (with acc.)",3.5,ante
"antīquus, -a, -um","ancient, former, of old times",4.1,antiquus
"appāreō (adp-), -ēre, -uī, -itum","to appear, come in sight, make an appearance",2.1,appareo
apud,"with, among, at, by, near, at the house of (with acc.)",2.2,apud
"aqua, -ae",water,2.2,aqua
"āra, -ae","a structure for sacrifice, altar",4.3,ara
"arbōr (arbōs), -oris",a tree,1.4,arbor
"ardēns, -entis","glowing, fiery, hot, ablaze, burning, eager",4.3,ardens
"ārdeō, -ēre, -sī, -sum","to be on fire, burn, blaze, be burned, glow",2.2,ardeo
"arma, -ōrum","implements, outfit, instruments, tools; implements of war, arms, weapons",1.3,arma
"Arpocras, -tis",a male name,3.5,Arpocras
"ars, artis","practical skill, art",6.1,ars
"arvum, -ī","an arable field, cultivated land, field, ploughed land",4.3,arvum
"arx, arcis","a castle, citadel, fortress, stronghold",4.1,arx
"aspiciō (ads-), -ere, -ēxī, -ectum","to look at, look upon, behold, look",2.2,aspicio
"at, ast",but (introducing a contrast to what precedes),1.2,at
"āter, -tra, -trum","black, coal-black, gloomy, dark",2.3,ater
"atque, ac",and,1.1,atque
"audeō, -ēre, ausus sum","to venture, dare, be bold, dare to do, risk",3.3,audeo
"audiō, -īre, -īvī or -iī, -ītum",to hear,2.2,audio
"aura, -ae","the air (in motion), a breeze, breath of air, wind, blast",4.4,aura
"auris, -is",the ear,3.1,auris
"aurum, -ī",gold,6.2,aurum
aut,or (introducing an antithesis to what precedes),1.1,aut
autem,"but, on the other hand, on the contrary, however",3.5,autem
"avunculus, ī","a maternal uncle, mother's brother",2.1,avunculus
"beātus, -a, -um","happy, prosperous, blessed, fortunate",1.4,beatus
"bellum, -ī",war,1.2,bellum
bene,well,2.4,bene
"beneficium, -ī","a favor, benefit, service, kindness",3.5,beneficium
"bonus, -a, -um",good,1.2,bonus
"cadō, -ere, cecidī, casūm","to fall, fall down, descend",4.4,cado
"caedēs, -is","a cutting-down, killing, slaughter, carnage, massacre",5.2,caedes
"caelum, -ī","the sky, heaven, heavens, vault of heaven",4.2,caelum
"cālīgō, -inis","a thick air, mist, vapor, fog",2.2,caligo
"Camilla, -ae","Camilla, maiden warrior and leader of the Volsci",6.2,Camilla
"campus, -ī","a plain, field, open country, level place",2.3,campus
"canō, -ere, cecinī, cantum","to make music, sing, sound, play",4.1,cano
"capillus, -ī","the hair of the head, hair",3.1,capillus
"capiō, -ere, cēpī, captum","to take in hand, take hold of, lay hold of, take, seize, grasp",4.4,capio
"caput, -itis",the head,2.2,caput
"carmen, -inis","a song, poem, verse, oracular response, prophecy, form of incantation, tune, 
note, sound (vocal or instrumental)",3.3,carmen
"Carthāgō (Karthāgō), -inis","Carthage, a city in north Africa",3.1,Carthago
"cārus, -a, -um","dear, precious, valued, esteemed, beloved",4.1,carus
"castra, -ōrum","a military camp, an encampment, a fort",2.5,castra
"castrum, -ī","a fortified place, fort, fortress",2.5,castrum
"cāsus, -ūs","a falling, falling down, fall; an adverse event, a misfortune, mishap, calamity",1.4,casus
"catēna, -ae","a chain, fetter, shackle",3.1,catena
"caterva, -ae","a crowd, troop, throng, band, mob",4.2,caterva
"causa, -ae","a cause, reason, motive, occasion, opportunity; (in the ablative) for the sake of",2.4,causa
"cēdō, -ere, cessī, cessum","to go from, give place, withdraw, go away, depart, yield",6.1,cedo
"celer, -eris, -ere","swift, fleet, quick, speedy",4.4,celer
"certus, -a, -um","determined, resolved, fixed, settled, purposed, certain",1.4,certus
"cēterus, -a, -um","the other, remainder, rest",2.2,ceterus
"cingō, -ere, -xī, -īnctum","to go around, surround, encompass, environ, gird, wreathe, crown",2.4,cingo
"cinis, -eris",ashes,2.1,cinis
circum,"around, about, all around (with acc.)",4.1,circum
"cīvis, -is",a citizen,4.3,civis
"cīvitās, -ātis","city, state; citizenship",3.4,civitas
"clārus, -a, -um","clear, bright, shining, brilliant",5.2,clarus
"classis, -is","a class, great division; (fig.) an army, a fleet",1.4,classis
"claudō, -ere, -sī, -sum","to shut, close, shut up",2.2,claudo
"clipeus, -ī",a round shield of metal,4.3,clipeus
"coepiō, -ere, coepī, coeptum","(defective verb) to begin, commence",2.3,coepio
"cōgnōscō, -ere, cognōvī, cognitum","to become acquainted with, acquire knowledge of, ascertain, learn, perceive, 
understand",1.4,cognosco
"cōgō, -ere, coēgī, coāctum","to drive together, bring together, convene, compel, force",2.4,cogo
"colō, -ere, coluī, cultum","to till, tend, care for, cultivate",4.1,colo
"coma, -ae","the hair of the head, hair",5.2,coma
"comes, -itis","a companion, associate, comrade, partaker, sharer, partner",3.1,comes
"committō, -ere, -mīsī, -missum","to bring together, join, combine, put together, connect, unite",2.3,committo
"compōnō, -ere, -posuī, -positum","to bring together, place together, collect, unite, join, connect, aggregate",4.5,compono
"condō, -ere, -didī, -ditum","to put together, make by joining, found, establish, build, settle",1.4,condo
"coniūnx, -iugis","a married person, consort, spouse, husband, wife",2.4,coniunx
"cōnsilium, -ī","a council, body of counsellors; a plan, purpose, intention",1.3,consilium
"cōnsul, -ulis","a consul; the highest magistracy of the Roman republic was vested in two 
consuls, chosen annually",5.1,consul
"cōnsulō, -ere, -luī, -ltum","to meet and consider, reflect, deliberate, take counsel, consult, take care, have 
regard, look out, be mindful",2.3,consulo
"contingō, -ere, -tigī, -tāctum","to touch, reach, take hold of, seize",4.2,contingo
contrā,"in opposition, opposite, face to face, in front, on the other side; in turn, in 
return, back, on the other hand, likewise (with acc.)",2.4,contra
"cōnūbium, -ī","marriage, wedlock",4.4,conubium
"cōpia, -ae","an abundance, ample supply, plenty; (in plural) troops, forces",1.4,copia
"corpus, -oris",a body (living or lifeless),1.2,corpus
"corripiō, -ere, -ripuī, -reptum","to seize, snatch up, grasp, collect, take hold of, arrest",2.3,corripio
"crēdō, -ere, -didī, -ditum","to commit, consign, intrust; to confide in, have confidence in; to believe, give 
credence, trust",1.3,credo
"crēscō, -ere, crēvī, crētum","to come into being, spring up, arise, be born,",2.1,cresco
"crīmen, -inis","a judgment, charge, accusation, reproach",5.5,crimen
"crūdēlis, -e","rude, unfeeling, hard, unmerciful, hard-hearted, cruel, severe, fierce",4.5,crudelis
cum,"when, while, since, although",1.1,cum
cum,"with, together, along with (with abl.)",1.1,cum
"cunctor, -ārī, -ātus","to delay, linger, loiter, hesitate, doubt",2.1,cunctor
"cūnctus, -a, -um","all together, the whole, all, entire",4.3,cunctus
"cupiō, -ere, -īvī, -ītum","to long for, desire, wish",2.3,cupio
cūr,why? wherefore? for what reason?,5.2,cur
"cūra, -ae","trouble, care, attention, pains, industry, diligence, exertion",3.6,cura
"currus, -ūs","a chariot, car, wagon",4.1,currus
"cursus, -ūs","a running, course, way, march, passage, voyage, journey",1.4,cursus
"Danaī, -ōrum","the Danaans, Greeks",4.1,Danai
dē,"from, away from, down from, out of, about (with abl.)",1.2,de
"dea, -ae",a goddess,1.1,dea
"dēbeo, -ēre, -uī, -itum","to owe, be in debt; ought, must, should",2.3,debeo
deinde or dein,"then, next, thereafter, afterwards",1.3,deinde
"dēnsus, -a, -um","thick, close, compact, dense, crowded",2.1,densus
"dēserō, -ere, -ruī, -rtum","to leave, forsake, abandon, desert, give up",2.2,desero
"dēsum, -esse, -fuī","to be away, be absent, fail, be wanting, be missing",2.4,desum
"dētineō, -ēre, -tinuī, -tentum","to hold off, keep back, detain, check",2.3,detineo
"deus, -ī","a god, deity",1.1,deus
"dexter, -tera, -terum, and -tra, -trum","to the right, on the right side, right",3.3,dexter
"dextra (dextera), -ae",the right hand,4.2,dextra
"Diāna, -ae","Diana, the goddess of the moon, daughter of Jupiter and Latona and twin sister 
of Apollo",4.2,Diana
"dīcō, -ere, dīxī, dictum","to say, speak, utter, tell, mention, relate, affirm, declare, state, assert",1.1,dico
"Dīdō, -ūs and -ōnis","Dido, queen of Carthage",4.2,Dido
"diēs, -ēī",a day,1.2,dies
"dīgnus, -a, -um","worthy, deserving, meritorious, deserved, suitable, fitting, becoming, proper",2.4,dignus
"discō, -ere, didicī","to learn, learn to know, acquire, become acquainted with",3.1,disco
diū,"a long time, long while, long, for a long time",3.2,diu
"dīva, -ae",a goddess,4.2,diva
"dīvus, -ī","a god, a deity",4.3,divus
"dō, dare, dedī, datum","to give, hand over, deliver, give up, render, furnish, pay, surrender, grant",1.1,do
"doceō, -ēre, -uī, -ctum","to cause to know, make aware, teach, instruct, inform, show, prove, convince, 
tell",3.1,doceo
"dolor, -ōris","pain, smart, ache, suffering, anguish",4.1,dolor
"domina, -ae","a mistress, dame, lady, she who rules",3.3,domina
"dominus, -ī","a master, possessor, ruler, lord, proprietor, owner",3.4,dominus
"domus, -ūs or -ī","a house, home, dwelling-house, building, mansion, palace",1.2,domus
"dōnum, -ī","a gift, present",4.3,donum
"dubius, -a, -um","moving two ways, fluctuating, wavering in opinion, doubting, doubtful, dubious, 
uncertain",2.3,dubius
"dūcō, -ere, -xī, -ctum","to lead, conduct, guide, direct, draw, bring, fetch, escort",3.1,duco
"dulcis, -e",sweet,4.4,dulcis
dum,"while, a while, now, yet; so long as, provided that, if only; until, until that",2.4,dum
"duo, -ae, -o",two,2.2,duo
"dūrus, -a, -um","hard (to the touch); harsh, rough, stern, unyielding, unfeeling",6.1,durus
"dux, ducis","a leader, conductor, guide",4.4,dux
ecce,lo! see! behold! there! look!,2.3,ecce
"effundō, -ere, -fūdī, -fūsum","to pour out, pour forth, shed, spread abroad",2.4,effundo
"ego, meī, mihi, mē, mē","I, me",1.1,ego
"ēgredior, -ī, -gressus","to go out, come forth, march out, go away",2.1,egredior
enim,"for, for instance, namely, that is to say, I mean, in fact",1.2,enim
eō,"there, in that place; therefore, for that reason",3.6,eo
"eō, īre, īvī or iī, itum","to go, walk, ride, sail, fly, move, pass",1.3,eo
"epistula, -ae","a written communication, letter",2.2,epistula
"eques, -itis","a horseman, rider; cavalryman, horse-soldier, trooper",6.2,eques
equidem,"truly, indeed, at all events, certainly, by all means, of course, to be sure",2.1,equidem
"equus, -ī","a horse, steed, charger",4.3,equus
ergō,"consequently; therefore, then, so then; because of (with gen.)",2.2,ergo
"ēripiō, -ere, -ipuī, -eptum","to tear out, snatch away, wrest, pluck, tear, take away",1.4,eripio
"errō, -āre, -āvī, -ātum","to wander, stray, rove, roam; to be in error, err, mistake, go wrong, go astray",4.1,erro
et,"and; also, too, besides, likewise, as well, even",1.1,et
etiam,"now too, yet, as yet, even yet, still, even now",1.2,etiam
"ex, ē","out of, from (with abl.)",1.1,ex
"excipiō, -ere, -cēpī, -ceptum","to take out, withdraw; to except, make an exception, stipulate, reserve",5.2,excipio
"excitō, -āre, -āvī, -ātum","to call out, summon forth, bring out, wake, rouse",2.2,excito
"exercitus, -ūs","a disciplined body of men, army",3.3,exercitus
"exigō, -ere, -ēgī, -āctum","to drive out, push forth, thrust out, take out, expel",2.3,exigo
"exitus, -ūs","a going out, exit, departure; end, conclusion, death",2.1,exitus
"exspectō or expectō, -āre, -āvī, -
ātum","to look out for, await, wait for",2.4,exspecto
"exstinguō or extinguō, -ere, -nxī, -
nctum","to put out, quench, extinguish",2.4,exstinguo
"extrēmus, -a, -um","outermost, utmost, extreme, farthest, last",4.4,extremus
"faciēs, -ēī","appearance, form, figure, shape, build",5.5,facies
"facilis, -e","easy to do, easy, without difficulty",3.4,facilis
"faciō, -ere, fēcī, factum","to make, construct, fashion, frame, build, erect, produce, compose; to do, 
perform, make, carry on, execute",1.1,facio
"fāma, -ae","a report, rumor, saying, talk, tradition, reputation",4.4,fama
"fātālis, -e","of fate, ordained by destiny, decreed, destined, fated, fatal",4.3,fatalis
"fātum, -ī","an utterance, prophecy, oracle; destiny, fate",4.1,fatum
"fēlīx, -īcis","fruitful, productive; bringing good-luck, favorable, fortunate, prosperous; lucky, 
happy, fortunate",6.4,felix
"fēmina, -ae","a female, woman",2.4,femina
"ferō, ferre, tulī, lātum","to bear, carry, support, lift, hold, take up",1.2,fero
"ferrum, -ī",iron,3.1,ferrum
"ferus, -a, -um","wild, untamed, uncultivated",2.5,ferus
"fidēs, -ēī","trust, faith, confidence, reliance, credence, belief",3.2,fides
"figūra, -ae","a form, shape, figure",2.1,figura
"fingō, -ere, finxī, fictum","to touch, form, shape, fashion, make",3.1,fingo
"fīnis, -is","that which divides, a boundary, limit, border, end",2.2,finis
"fīō, fierī, factus sum","to happen, be done; become",4.3,fio
"flamma, -ae","a blazing fire, blaze, flame",2.2,flamma
"flectō, -ere, flēxī, flexum","to bend, bow, curve, turn, turn round",2.1,flecto
"fleō, -ēre, flēvī, flētum","to weep, cry, shed tears, lament, wail",5.4,fleo
"fluctus, -ūs","a wave, flow, tide, surge",4.2,fluctus
"flūmen, -inis","a flowing, flood, stream, running water, river",3.3,flumen
"for, fārī, fātus","to speak, say",4.3,for
"fōrma, -ae","a form, contour, figure, shape, appearance, looks",1.4,forma
"formīdō, -inis","fearfulness, fear, terror, dread, awe",2.2,formido
forte,"by chance, by accident",2.1,forte
"fortis, -e","Strong, vigorous, firm, steadfast, stout, courageous, brave, manly, valiant, bold, 
fearless",1.4,fortis
"fortūna, -ae","chance, luck, fate, fortune",1.3,fortuna
"frangō, -ere, frēgi, frāctum","to break in pieces, dash to pieces, shiver, shatter, fracture",1.4,frango
"frāter, -tris",a brother,2.3,frater
"fuga, -ae","a fleeing, flight, running away",1.4,fuga
"fugiō, -ere, fūgī, fugitum","to flee, fly, take flight, run away, make off",1.3,fugio
"furor, -ōris","a raving, rage, madness, fury, passion",4.3,furor
"futūrus, -a, -um","going to be, yet to be, to come, future",2.4,futurus
"Gāius (Cāius), -ī or C.","Gaius, a Roman praenomen abbreviated C.",2.1,Gaius
"gaudeō, -ēre, gāvīsus sum","to rejoice, be glad, be joyful, take pleasure, be pleased, delight",4.3,gaudeo
"geminus, -a, -um","born together, twin; paired, double, twofold, both, two",4.3,geminus
"gemitus, -ūs","a sighing, sigh, groan, lamentation, complaint",2.4,gemitus
"gēns, gentis","a race, clan, house",4.1,gens
"genus, -eris","a race, stock, family, birth, descent, origin, sort, kind",3.4,genus
"gerō, -ere, gessī, gestum","to bear, carry, wear, have, hold, sustain",3.1,gero
"glōria, -ae","glory, fame, renown, praise, honor",1.4,gloria
"gradus, -ūs","a step, pace, gait, walk",2.4,gradus
"grātia, -ae","favor, esteem, regard, liking, love, friendship, partiality; charm, beauty, 
loveliness",1.4,gratia
"grātus, -a, -um","beloved, dear, acceptable, pleasing, agreeable",3.6,gratus
"gravis, -e","heavy, weighty, ponderous, burdensome, loaded, laden, burdened",2.2,gravis
"habeō, -ēre, -uī, -itum","to have, hold, support, carry, wear",1.1,habeo
"hasta, -ae","a staff, rod, pole; a spear, lance, pike, javelin",4.3,hasta
haud or haut,"not, not at all, by no means",6.3,haud
"hauriō, -īre, hausī, haustum","to draw up, draw out, draw; to drain, drink up, spill, shed",2.2,haurio
hīc,"here, in this place",1.2,hic
"hic, haec, hoc",this,1.1,hic
hinc,"from this place, hence",4.1,hinc
"historia, -ae","a narrative of past events, history",2.2,historia
"homō, -inis","a human being, man, person",1.2,homo
"honōs or honōr, -ōris","honor, repute, esteem, reputation, praise, distinction",3.1,honos
"horrendus, -a, -um","dreadful, terrible, fearful, horrible",2.3,horrendus
"horreō, -ēre, -uī","to stand on end, stand erect, bristle, be rough",2.3,horreo
"hostis, -is","a stranger, foreigner; an enemy, foe, public enemy",1.3,hostis
hūc,"to this place, hither",2.2,huc
"hūmānus, -a, -um","of man, human",3.1,humanus
"iaceō, -ēre, -cuī, -citum","to lie, be recumbent, be prostrate, lie at rest",1.3,iaceo
"iactō, -āre, -āvī, -ātum","to throw, cast, hurl",4.1,iacto
iam,"at the moment, at the present moment, now, at this time, just now, at present",1.1,iam
"iātralipta or -es, -ae","a physician, especially one who uses massage and ointments",3.5,iatralipta
ibī or ibi,"in that place, there; on the spot, then, thereupon",2.1,ibi
"īdem, eadem, idem",the same,1.2,idem
igitur,"then, therefore, thereupon, accordingly, consequently",3.1,igitur
"īgnis, -is",fire,1.3,ignis
"ille, illa, illud",that,1.1,ille
illīc,"in that place, yonder, there",2.2,illic
"imāgō, -inis","an imitation, copy, image, representation, likeness, statue, bust, picture",3.1,imago
"immineō (inm-), -ēre","to project over, lean towards, hang down over, overhang, overarch",2.1,immineo
"impellō (inp-), -ere, -pulī, -pulsum","to strike against, push, drive, smite, strike, reach; to set in motion, drive forward, 
move, urge on, impel, propel, wield",2.3,impello
"imperātor, -ōris","a commander, leader, chief, director, ruler, general",3.4,imperator
"imperium, -ī","a command, order; supreme power, sway, dominion, empire",1.3,imperium
"impetus, -ūs","an attack, assault, onset; violence, fury, rush, force",5.3,impetus
"implicō, -āre, -āvī or -uī, -ātum or -
itum","to infold, involve, entangle, entwine, inwrap, envelop, encircle, embrace, clasp, 
grasp",3.1,implico
"impōnō (inp-), -ere, -posuī, -positum","to place upon, set on, impose, establish, introduce, set, place",2.2,impono
in,"in, on (with abl.); into, to, onto (with acc.)",1.1,in
"incertus, -a, -um","not fixed, unsettled, undetermined; irresolute, hesitating, undecided, doubtful, 
at a loss",2.1,incertus
"incidō, -ere, -cidī","to fall in, fall, light, strike, reach, find the way",2.1,incido
"incipiō, -ere, -cēpī, -ceptum","to take hold, take in hand, begin",2.3,incipio
inde,"from that place, from there, thence",3.1,inde
"īnfāns, -fantis","(as an adjective) that cannot speak, without speech, mute, speechless; (as a 
noun) a little child, infant, babe",2.4,infans
"īnfēlīx, -īcis","unfruitful, not fertile, barren; unfortunate, ill-fated, unhappy, miserable",4.3,infelix
"īnferus, -a, -um","below, beneath, underneath, lower, of the lower world",5.3,inferus
"ingenium, -ī","innate quality, nature, temperament, constitution, character",5.2,ingenium
"ingēns, -tis","not natural, immoderate, vast, huge, prodigious, enormous, great, remarkable",2.3,ingens
"inimīcus, -a, -um","unfriendly, hostile, inimical",6.1,inimicus
"iniūria, -ae","an injustice, wrong, outrage, injury, insult",4.1,iniuria
"inquam, inquis, inquit, inquimus, 
inquiunt",to say (after one or more words of a quotation),1.3,inquam
"intendō, -ere, -dī, -tum","to stretch out, reach forth, extend",3.1,intendo
inter,"between, among (with acc.)",1.2,inter
interdum,"sometimes, occasionally, now and then",2.1,interdum
interim,"meanwhile, in the meantime",2.2,interim
"inveniō, -īre, -vēnī, -ventum","to come upon, find, meet with, light upon",2.2,invenio
"ipse, -a, -um","self, in person, himself, herself, itself, etc.",1.1,ipse
"īra, -ae","anger, wrath, rage, ire, passion, indignation",4.1,ira
"is, ea, id","he, she, it; this, that, the",1.1,is
"iste, -a, -ud","that, this, that of yours",1.2,iste
ita,"in this manner, in this wise, in such a way, so, thus, accordingly, as has been said",1.3,ita
"Ītalia, -ae",Italy,4.1,Italia
itaque,"and so, and thus, and accordingly",3.5,itaque
"iter, itineris","a going, walk, way, journey, passage, march, voyage",6.2,iter
iterum,"again, a second time, once more, anew",2.2,iterum
"iubeō, -ēre, iussī, iūssum","to order, give an order, bid, tell, command",1.2,iubeo
"iugum, -ī","a yoke, collar; a height, summit, ridge, chain of mountains",4.2,iugum
"Iūnō, -ōnis","Juno, wife of Jupiter, daughter of Saturn, and goddess of marriage",4.1,Iuno
"Iuppiter (Iūpi-), Iovis","Jupiter, Jove, king of the gods, son of Saturn, brother and husband of Juno, god 
of the sky",4.5,Iuppiter
"iūs, iūris","that which is binding, right, justice, duty, law",3.5,ius
"iuvenis, -is","a young person, youth",2.4,iuvenis
"iuvō, -āre, iūvī, iūtum","to help, aid, assist, further, serve, support, benefit",1.4,iuvo
"lābor, -ī, lapsus","to glide, slide, move, slip, float, pass, flow",4.4,labor
"labor, -ōris","labor, toil, exertion",4.1,labor
"lacrima (lacruma), -ae",a tear,4.5,lacrima
"laedō, -ere, -sī, -sum","to hurt, wound, injure, damage",4.1,laedo
"laetus, -a, -um","joyful, cheerful, glad, rejoicing, happy, delighted, full of joy",4.2,laetus
"Lāocoōn, -ontis","Laocoon, a Trojan prince and priest of Apollo, serving as the priest of Neptune in 
the last days of Troy",4.3,Laocoon
"lapis, -idis",a stone,2.1,lapis
"Latium, -ī","Latium, the region of Italy in which Rome was situated",4.1,Latium
"latus, -eris","the side, flank",2.3,latus
"laudō, -āre, -āvī, -ātum","to praise, laud, commend, honor, extol, eulogize, approve",5.3,laudo
"laus, laudis","praise, commendation, glory, fame, renown, esteem",5.3,laus
"lēgātus, -ī","an ambassador, legate",5.4,legatus
"legiō, -ōnis","a body of soldiers, legion",5.2,legio
"legō, -ere, lēgī, lēctum","to bring together, gather, choose; to read",1.4,lego
"levis, -e","light, not heavy",2.2,levis
"lēx, lēgis","a law, bill, regulation, principle, rule",4.2,lex
"liber, -brī","the bark of a tree; paper, book",2.1,liber
"līber, -era, -erum","free, unrestricted, unrestrained, unimpeded, unembarrassed, unshackled",2.5,liber
"liberta, -ae","a freedwoman, freed person, former enslaved person",3.5,liberta
"lībertās, -ātis","freedom, liberty, absence of restraint, permission",5.5,libertas
"licet, -ēre, licuit and licitum est","it is lawful, is allowed, is permitted; even if, although, notwithstanding",3.2,licet
"līmen, -inis","a threshold, sill",2.2,limen
"lītus, -ōris","the sea-shore, sea-side, beach",1.3,litus
"locus or locum, -ī","a place, spot",1.2,locus
longē,"a long way off, far, far off, at a distance",2.4,longe
"longus, -a, -um","long, extended",1.3,longus
"loquor, -ī, locūtus","to speak, talk, say, tell, mention, utter",4.5,loquor
"lūmen, -inis","light, light of day, light of life, light of the eye",2.2,lumen
"lūx, lūcis","light, brightness",4.4,lux
"māchina, -ae","a machine, engine",4.3,machina
magis,"more, in a higher degree, more completely",1.3,magis
"māgnus, -a, -um","great, large",1.1,magnus
"malum, -ī","an evil, mischief, misfortune, calamity",2.1,malum
"malus, -a, -um","bad, not good",2.5,malus
"maneō, -ēre, mānsī, mānsum","to stay, remain, abide, tarry",1.4,maneo
"manus, -ūs",a hand; a band (of soldiers),1.2,manus
"mare, -is",the sea,1.3,mare
"māter, -tris",a mother,1.3,mater
māximē or māxumē,"in the highest degree, especially, exceedingly, very",2.1,maxime
